ID,country,year,number
2,United States,1990,18800
3,United States,1991,18800
4,United States,1992,18900
5,United States,1993,19000
6,United States,1994,19000
7,United States,1995,19000
8,United States,1996,19000
9,United States,1997,18900
10,United States,1998,18700
11,United States,1999,18300
12,United States,2000,18100
13,United States,2001,17900
14,United States,2002,17600
15,United States,2003,17500
16,United States,2004,17300
17,United States,2005,17200
18,United States,2006,17200
19,United States,2007,17100
20,United States,2008,17200
21,United States,2009,17300
22,United States,2010,17400
23,United States,2011,17600
24,United States,2012,17800
25,United States,2013,18100
26,United States,2014,18400
27,United States,2015,18600
28,United States,2016,18700
29,United Kingdom,1990,5050
30,United Kingdom,1991,4930
31,United Kingdom,1992,4790
32,United Kingdom,1993,4580
33,United Kingdom,1994,4400
34,United Kingdom,1995,4290
35,United Kingdom,1996,4170
36,United Kingdom,1997,4030
37,United Kingdom,1998,3890
38,United Kingdom,1999,3800
39,United Kingdom,2000,3740
40,United Kingdom,2001,3730
41,United Kingdom,2002,3660
42,United Kingdom,2003,3600
43,United Kingdom,2004,3530
44,United Kingdom,2005,3480
45,United Kingdom,2006,3420
46,United Kingdom,2007,3380
47,United Kingdom,2008,3350
48,United Kingdom,2009,3320
49,United Kingdom,2010,3310
50,United Kingdom,2011,3310
51,United Kingdom,2012,3280
52,United Kingdom,2013,3270
53,United Kingdom,2014,3250
54,United Kingdom,2015,3200
55,United Kingdom,2016,3210
56,Brazil,1990,13000
57,Brazil,1991,13200
58,Brazil,1992,13600
59,Brazil,1993,13900
60,Brazil,1994,14200
61,Brazil,1995,14600
62,Brazil,1996,14900
63,Brazil,1997,15300
64,Brazil,1998,15700
65,Brazil,1999,16100
66,Brazil,2000,16300
67,Brazil,2001,16400
68,Brazil,2002,16500
69,Brazil,2003,16700
70,Brazil,2004,16900
71,Brazil,2005,17100
72,Brazil,2006,17200
73,Brazil,2007,17500
74,Brazil,2008,17700
75,Brazil,2009,18000
76,Brazil,2010,18200
77,Brazil,2011,18400
78,Brazil,2012,18700
79,Brazil,2013,18900
80,Brazil,2014,19200
81,Brazil,2015,19500
82,Brazil,2016,19600
83,Uruguay,1990,530
84,Uruguay,1991,534
85,Uruguay,1992,537
86,Uruguay,1993,542
87,Uruguay,1994,545
88,Uruguay,1995,552
89,Uruguay,1996,563
90,Uruguay,1997,582
91,Uruguay,1998,591
92,Uruguay,1999,592
93,Uruguay,2000,589
94,Uruguay,2001,596
95,Uruguay,2002,601
96,Uruguay,2003,602
97,Uruguay,2004,592
98,Uruguay,2005,589
99,Uruguay,2006,589
100,Uruguay,2007,587
101,Uruguay,2008,584
102,Uruguay,2009,567
103,Uruguay,2010,568
104,Uruguay,2011,571
105,Uruguay,2012,571
106,Uruguay,2013,581
107,Uruguay,2014,579
108,Uruguay,2015,574
109,Uruguay,2016,569