ID,Country,psat_cr,psat_m,psat_w
210,Argentina A,40,39,38
211,Argentina A,45,47,45
212,Argentina A,46,52,43
213,Argentina A,41,45,43
214,Argentina A,49,50,43
215,Argentina A,59,62,62
216,Argentina A,51,43,35
217,Argentina A,45,49,51
218,Argentina A,36,41,21
219,Argentina A,56,50,44
220,Argentina B,41,43,45
221,Argentina B,48,49,44
222,Argentina B,48,54,51
223,Argentina B,44,41,42
224,Argentina B,54,47,58
225,Argentina B,38,54,35
226,Argentina B,44,47,41
227,Argentina B,41,53,27
228,Argentina C,41,58,52
229,Argentina C,67,64,62
230,Argentina C,48,50,49
231,Argentina C,40,44,38
232,Argentina C,46,54,58
233,Argentina C,29,43,32
234,Argentina C,32,38,23
235,Argentina C,40,41,43
236,Argentina C,40,53,37
237,Argentina C,30,52,35
238,Argentina D,43,45,47